No,year,month,day,hour,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,wd,WSPM,arah
24953,2016,1,4,16,12.0,24.0,7.0,9.0,100.0,70.0,1.6,1019.7,-19.0,0.0,WNW,3.4,WNW
24954,2016,1,4,17,8.0,20.0,7.0,11.0,100.0,69.0,0.2,1020.3,-19.6,0.0,NW,3.0,NW
24955,2016,1,4,18,8.0,31.0,6.0,8.0,100.0,69.0,-0.5,1020.9,-18.6,0.0,N,2.8,N
24956,2016,1,4,19,5.0,5.0,2.0,2.0,100.0,76.0,-1.4,1021.6,-19.4,0.0,NE,2.0,NE
24957,2016,1,4,20,4.0,5.0,2.0,2.0,100.0,76.0,-2.4,1021.7,-20.3,0.0,NE,2.9,NE
24958,2016,1,4,21,7.0,7.0,3.0,2.0,100.0,75.0,-2.9,1022.2,-19.8,0.0,N,3.1,N
24959,2016,1,4,22,4.0,5.0,2.0,2.0,100.0,74.0,-3.5,1022.8,-19.9,0.0,NNE,2.3,NNE
24960,2016,1,4,23,3.0,5.0,4.0,2.0,100.0,71.0,-3.9,1022.8,-20.2,0.0,N,2.4,N
24961,2016,1,5,0,5.0,5.0,3.0,2.0,100.0,69.0,-4.8,1023.1,-20.6,0.0,N,1.2,N
24962,2016,1,5,1,7.0,7.0,3.0,3.0,100.0,64.0,-5.1,1022.8,-21.2,0.0,NNE,1.7,NNE
24963,2016,1,5,2,7.0,12.0,5.0,9.0,100.0,55.0,-5.5,1022.8,-21.2,0.0,E,1.1,E
24964,2016,1,5,3,9.0,16.0,7.0,12.0,100.0,50.0,-6.0,1022.7,-21.2,0.0,ENE,1.5,ENE
24965,2016,1,5,4,9.0,9.0,7.0,12.0,100.0,48.0,-6.9,1022.3,-20.9,0.0,NNW,1.6,NNW
24966,2016,1,5,5,8.0,8.0,7.0,13.0,100.0,47.0,-7.0,1022.2,-20.6,0.0,NNW,1.9,NNW
24967,2016,1,5,6,7.0,9.0,8.0,14.0,100.0,45.0,-6.8,1022.1,-20.8,0.0,NNE,1.7,NNE
24968,2016,1,5,7,9.0,11.0,8.0,10.0,100.0,50.0,-6.6,1022.2,-20.6,0.0,NNE,2.3,NNE
24969,2016,1,5,8,7.0,12.0,9.0,9.0,100.0,52.0,-6.1,1022.6,-21.3,0.0,NNW,2.7,NNW
24970,2016,1,5,9,10.0,14.0,9.0,8.0,100.0,53.0,-5.6,1022.8,-20.5,0.0,N,2.2,N
24971,2016,1,5,10,11.0,18.0,6.0,5.0,100.0,58.0,-2.4,1022.7,-20.8,0.0,NW,4.3,NW
24972,2016,1,5,11,7.0,19.0,5.0,3.0,100.0,63.0,-1.3,1022.0,-20.3,0.0,NW,4.2,NW
24973,2016,1,5,12,4.0,20.0,6.0,5.0,100.0,62.0,0.0,1020.5,-20.9,0.0,NW,4.9,NW
24974,2016,1,5,13,8.0,8.0,4.0,3.0,100.0,68.0,0.6,1019.3,-21.1,0.0,WNW,6.0,WNW
24975,2016,1,5,14,8.0,33.0,6.0,4.0,100.0,71.0,1.6,1018.4,-20.9,0.0,NW,4.8,NW
24976,2016,1,5,15,7.0,20.0,6.0,5.0,100.0,71.0,1.8,1018.3,-20.7,0.0,WNW,4.9,WNW
24977,2016,1,5,16,7.0,17.0,5.0,5.0,100.0,72.0,1.5,1018.1,-20.3,0.0,NW,5.1,NW
24978,2016,1,5,17,10.0,14.0,7.0,7.0,100.0,69.0,0.5,1018.2,-19.4,0.0,NW,3.9,NW
24979,2016,1,5,18,15.0,25.0,8.0,13.0,100.0,57.0,-0.1,1018.7,-19.3,0.0,NW,3.9,NW
24980,2016,1,5,19,15.0,15.0,7.0,10.0,100.0,59.0,-0.2,1019.2,-18.9,0.0,WNW,3.1,WNW
24981,2016,1,5,20,13.0,19.0,11.0,13.0,100.0,58.0,-1.8,1019.9,-18.4,0.0,NNE,1.1,NNE
24982,2016,1,5,21,17.0,21.0,11.0,17.0,100.0,50.0,-2.0,1020.1,-18.1,0.0,NNE,1.7,NNE
24983,2016,1,5,22,18.0,23.0,13.0,20.0,100.0,45.0,-2.4,1020.5,-17.7,0.0,NNE,1.8,NNE
24984,2016,1,5,23,17.0,20.0,12.0,18.0,100.0,47.0,-3.0,1020.6,-17.4,0.0,N,1.4,N
24985,2016,1,6,0,20.0,20.0,11.0,18.0,100.0,47.0,-2.5,1020.4,-17.0,0.0,NNE,1.4,NNE
24986,2016,1,6,1,17.0,17.0,13.0,18.0,100.0,46.0,-3.4,1020.2,-16.7,0.0,NW,1.4,NW
24987,2016,1,6,2,21.0,28.0,15.0,24.0,100.0,39.0,-3.1,1020.2,-16.8,0.0,NNW,2.1,NNW
24988,2016,1,6,3,23.0,37.0,19.0,29.0,200.0,33.0,-2.8,1020.2,-16.5,0.0,NNE,2.6,NNE
24989,2016,1,6,4,27.0,28.0,19.0,28.0,300.0,31.0,-3.5,1020.1,-16.5,0.0,NNW,2.2,NNW
24990,2016,1,6,5,23.0,30.0,20.0,31.0,300.0,29.0,-3.4,1020.3,-16.7,0.0,NNE,2.9,NNE
24991,2016,1,6,6,18.0,30.0,18.0,26.0,300.0,35.0,-3.2,1020.8,-16.9,0.0,NNE,1.8,NNE
24992,2016,1,6,7,23.0,32.0,19.0,28.0,300.0,32.0,-4.3,1021.5,-16.5,0.0,NE,1.3,NE
24993,2016,1,6,8,21.0,28.0,19.0,26.0,300.0,34.0,-4.6,1022.1,-16.5,0.0,N,1.6,N
24994,2016,1,6,9,22.0,53.0,18.0,22.0,300.0,39.0,-2.9,1022.9,-17.0,0.0,NE,2.6,NE
24995,2016,1,6,10,24.0,53.0,19.0,20.0,300.0,44.0,-0.2,1023.3,-17.9,0.0,NW,4.0,NW
24996,2016,1,6,11,20.0,39.0,15.0,13.0,300.0,54.0,0.7,1023.1,-19.8,0.0,NW,6.2,NW
24997,2016,1,6,12,20.0,39.0,13.0,10.0,300.0,60.0,1.7,1022.1,-19.5,0.0,NW,4.5,NW
24998,2016,1,6,13,12.0,33.0,7.0,5.0,200.0,69.0,2.1,1021.1,-19.8,0.0,WNW,5.6,WNW
24999,2016,1,6,14,9.0,43.0,6.0,4.0,100.0,71.0,2.8,1020.4,-19.2,0.0,WNW,5.1,WNW
25000,2016,1,6,15,14.0,40.0,6.0,7.0,100.0,69.0,2.7,1020.4,-18.7,0.0,WNW,5.2,WNW
25001,2016,1,6,16,15.0,44.0,5.0,6.0,100.0,69.0,2.0,1021.0,-18.7,0.0,WNW,4.6,WNW
25002,2016,1,6,17,11.0,54.0,3.0,4.0,100.0,70.0,0.7,1021.7,-18.6,0.0,WNW,4.4,WNW
25003,2016,1,6,18,8.0,27.0,2.0,2.0,100.0,73.0,-0.5,1022.8,-18.2,0.0,NNW,2.5,NNW
25004,2016,1,6,19,7.0,20.0,2.0,2.0,100.0,73.0,-1.2,1023.7,-18.8,0.0,NNW,5.1,NNW
25005,2016,1,6,20,6.0,18.0,2.0,2.0,100.0,74.0,-2.7,1024.5,-18.7,0.0,NNW,1.8,NNW
25006,2016,1,6,21,4.0,11.0,2.0,2.0,100.0,75.0,-3.1,1024.7,-18.7,0.0,N,3.9,N
25007,2016,1,6,22,4.0,10.0,2.0,2.0,100.0,72.0,-3.8,1025.4,-18.9,0.0,NNW,2.9,NNW
25008,2016,1,6,23,5.0,22.0,3.0,2.0,100.0,65.0,-4.8,1026.2,-18.3,0.0,NNW,2.5,NNW
25009,2016,1,7,0,12.0,40.0,5.0,6.0,100.0,59.0,-5.4,1026.7,-18.5,0.0,NW,2.6,NW
25010,2016,1,7,1,10.0,43.0,8.0,10.0,100.0,52.0,-5.7,1026.5,-19.4,0.0,WNW,3.7,WNW
25011,2016,1,7,2,10.0,33.0,7.0,8.0,100.0,56.0,-6.1,1026.5,-19.1,0.0,NW,3.0,NW
25012,2016,1,7,3,8.0,23.0,7.0,7.0,100.0,57.0,-6.3,1026.4,-18.6,0.0,NNW,1.9,NNW
25013,2016,1,7,4,7.0,17.0,6.0,6.0,100.0,60.0,-6.5,1025.9,-18.8,0.0,N,1.6,N
25014,2016,1,7,5,7.0,18.0,6.0,5.0,100.0,60.0,-6.1,1025.6,-19.1,0.0,NW,3.7,NW
25015,2016,1,7,6,8.0,17.0,7.0,5.0,100.0,58.0,-6.7,1025.3,-19.0,0.0,NNW,2.2,NNW
25016,2016,1,7,7,10.0,12.0,7.0,6.0,100.0,57.0,-6.2,1025.1,-19.2,0.0,WNW,5.5,WNW
25017,2016,1,7,8,8.0,20.0,8.0,8.0,100.0,54.0,-6.9,1025.6,-18.9,0.0,NW,2.7,NW
25018,2016,1,7,9,6.0,27.0,10.0,9.0,100.0,54.0,-5.2,1025.4,-18.6,0.0,WNW,4.8,WNW
25019,2016,1,7,10,4.0,21.0,10.0,6.0,100.0,59.0,-4.0,1025.1,-18.3,0.0,WNW,6.3,WNW
25020,2016,1,7,11,15.0,76.0,10.0,7.0,100.0,60.0,-2.7,1024.1,-18.3,0.0,WNW,5.7,WNW
25021,2016,1,7,12,14.0,45.0,9.0,5.0,100.0,63.0,-1.5,1022.6,-18.1,0.0,WNW,5.6,WNW
25022,2016,1,7,13,10.0,21.0,6.0,2.0,100.0,68.0,-0.4,1021.2,-18.1,0.0,NW,4.9,NW
25023,2016,1,7,14,11.0,28.0,6.0,2.0,100.0,70.0,0.4,1020.4,-17.9,0.0,WNW,4.5,WNW
25024,2016,1,7,15,9.0,26.0,6.0,4.0,100.0,69.0,0.3,1019.9,-18.5,0.0,WNW,5.1,WNW
25025,2016,1,7,16,12.0,30.0,8.0,6.0,100.0,68.0,0.2,1019.8,-18.0,0.0,W,3.8,W
25026,2016,1,7,17,11.0,33.0,9.0,10.0,100.0,64.0,-1.1,1019.8,-18.2,0.0,WNW,4.5,WNW
25027,2016,1,7,18,11.0,27.0,7.0,7.0,100.0,66.0,-1.3,1019.7,-17.9,0.0,WNW,4.9,WNW
25028,2016,1,7,19,11.0,27.0,7.0,7.0,100.0,66.0,-2.5,1019.7,-17.4,0.0,N,1.2,N
25029,2016,1,7,20,11.0,27.0,7.0,7.0,100.0,66.0,-2.9,1019.5,-17.3,0.0,NNE,1.1,NNE
25030,2016,1,7,21,11.0,27.0,7.0,7.0,100.0,66.0,-3.3,1019.7,-17.7,0.0,N,1.4,N
25031,2016,1,7,22,11.0,27.0,7.0,7.0,100.0,66.0,-3.5,1019.5,-17.5,0.0,NNW,2.5,NNW
25032,2016,1,7,23,11.0,27.0,7.0,7.0,100.0,66.0,-3.7,1019.4,-17.7,0.0,N,1.7,N
25033,2016,1,8,0,11.0,27.0,27.0,3.0,2800.0,38.0,-3.6,1019.3,-17.9,0.0,N,2.7,N
25034,2016,1,8,1,8.0,8.0,12.0,10.0,2400.0,56.0,-2.9,1018.9,-18.9,0.0,NW,5.0,NW
25035,2016,1,8,2,13.0,13.0,9.0,8.0,2400.0,58.0,-2.8,1019.2,-18.8,0.0,NW,6.6,NW
25036,2016,1,8,3,9.0,9.0,10.0,8.0,2400.0,56.0,-3.2,1019.3,-19.2,0.0,NW,5.6,NW
25037,2016,1,8,4,10.0,10.0,9.0,9.0,2300.0,51.0,-3.5,1019.0,-19.0,0.0,NW,4.8,NW
25038,2016,1,8,5,13.0,13.0,9.0,10.0,2300.0,53.0,-3.5,1018.7,-19.4,0.0,NW,6.4,NW
25039,2016,1,8,6,4.0,4.0,9.0,9.0,2300.0,55.0,-3.8,1019.1,-19.3,0.0,WNW,4.9,WNW
25040,2016,1,8,7,8.0,8.0,9.0,9.0,2300.0,55.0,-4.1,1019.6,-19.5,0.0,WNW,4.7,WNW
25041,2016,1,8,8,9.0,9.0,9.0,9.0,2300.0,55.0,-4.7,1020.4,-19.7,0.0,NNW,2.5,NNW
25042,2016,1,8,9,8.0,8.0,9.0,6.0,2300.0,60.0,-3.4,1020.7,-19.8,0.0,NW,4.1,NW
25043,2016,1,8,10,10.0,10.0,8.0,4.0,2300.0,64.0,-1.8,1020.9,-19.3,0.0,WNW,4.2,WNW
25044,2016,1,8,11,8.0,8.0,6.0,2.0,2300.0,67.0,-0.2,1020.4,-19.4,0.0,WNW,3.6,WNW
25045,2016,1,8,12,8.0,8.0,6.0,3.0,2200.0,64.0,0.8,1019.3,-19.7,0.0,NW,3.1,NW
25046,2016,1,8,13,3.0,3.0,8.0,2.0,2200.0,66.0,1.8,1018.3,-19.4,0.0,WNW,3.4,WNW
25047,2016,1,8,14,9.0,104.0,7.0,3.0,2200.0,68.0,2.1,1017.5,-19.2,0.0,WNW,4.6,WNW
25048,2016,1,8,15,9.0,71.0,9.0,3.0,300.0,70.0,2.5,1017.2,-18.9,0.0,NW,4.2,NW
25049,2016,1,8,16,10.0,66.0,8.0,5.0,200.0,69.0,2.1,1017.3,-18.0,0.0,NW,3.7,NW
25050,2016,1,8,17,11.0,53.0,9.0,8.0,300.0,64.0,0.7,1017.4,-17.6,0.0,NW,3.5,NW
25051,2016,1,8,18,14.0,53.0,10.0,10.0,300.0,60.0,0.0,1017.6,-17.3,0.0,W,2.1,W
25052,2016,1,8,19,12.0,30.0,8.0,9.0,300.0,61.0,-1.4,1017.4,-17.2,0.0,NNE,0.9,NNE
25053,2016,1,8,20,11.0,33.0,8.0,8.0,300.0,61.0,-1.9,1017.4,-17.6,0.0,N,1.6,N
25054,2016,1,8,21,11.0,26.0,11.0,5.0,300.0,64.0,-1.7,1017.3,-17.0,0.0,NE,1.9,NE
25055,2016,1,8,22,8.0,24.0,8.0,4.0,200.0,66.0,-2.2,1017.1,-17.1,0.0,N,1.9,N
25056,2016,1,8,23,10.0,23.0,9.0,5.0,300.0,62.0,-2.5,1017.2,-17.0,0.0,N,2.2,N
25057,2016,1,9,0,17.0,30.0,13.0,10.0,500.0,54.0,-3.2,1017.0,-16.9,0.0,N,1.5,N
25058,2016,1,9,1,16.0,25.0,8.0,7.0,400.0,57.0,-4.7,1016.9,-16.3,0.0,NW,1.3,NW
25059,2016,1,9,2,21.0,34.0,14.0,18.0,500.0,40.0,-5.9,1017.2,-15.4,0.0,S,0.4,S
25060,2016,1,9,3,25.0,41.0,13.0,33.0,700.0,22.0,-6.3,1017.1,-16.0,0.0,NNW,1.1,NNW
25061,2016,1,9,4,31.0,41.0,18.0,35.0,800.0,20.0,-7.3,1016.6,-15.7,0.0,NNW,1.2,NNW
25062,2016,1,9,5,32.0,42.0,16.0,33.0,900.0,20.0,-8.1,1016.3,-15.6,0.0,N,1.2,N
25063,2016,1,9,6,29.0,39.0,13.0,31.0,900.0,19.0,-9.0,1016.2,-15.8,0.0,N,0.8,N
25064,2016,1,9,7,31.0,48.0,15.0,32.0,1200.0,17.0,-9.0,1016.2,-15.4,0.0,N,0.9,N
25065,2016,1,9,8,33.0,45.0,26.0,39.0,1000.0,11.0,-8.6,1016.3,-15.4,0.0,N,1.0,N
25066,2016,1,9,9,50.0,95.0,17.0,35.0,1400.0,14.0,-6.4,1016.7,-15.1,0.0,WSW,0.6,WSW
25067,2016,1,9,10,90.0,107.0,26.0,34.0,1600.0,19.0,-2.4,1017.0,-13.9,0.0,SE,1.2,SE
25068,2016,1,9,11,71.0,84.0,28.0,42.0,1400.0,22.0,-0.8,1016.4,-14.0,0.0,S,1.3,S
25069,2016,1,9,12,40.0,52.0,24.0,20.0,600.0,49.0,1.7,1015.2,-13.7,0.0,ESE,1.4,ESE
25070,2016,1,9,13,40.0,40.0,25.0,23.0,700.0,50.0,3.9,1014.1,-15.4,0.0,SSW,1.5,SSW
25071,2016,1,9,14,32.0,32.0,21.0,17.0,600.0,59.0,5.3,1013.4,-14.8,0.0,SW,1.5,SW
25072,2016,1,9,15,22.0,25.0,16.0,11.0,400.0,68.0,5.5,1013.5,-15.7,0.0,SSW,2.8,SSW
25073,2016,1,9,16,39.0,59.0,24.0,36.0,800.0,46.0,4.9,1013.8,-16.2,0.0,SSE,1.5,SSE
25074,2016,1,9,17,63.0,108.0,32.0,70.0,1300.0,16.0,3.4,1014.1,-16.9,0.0,SE,1.3,SE
